X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
493787.927416881,6666574.45828556,9187,VELOSTATION,DUBBELZIJDIG,GROENZONE,Maantjessteenweg,175,,Merksem,2170,VE_0000210,IN_GEBRUIK,36,210 Maantjessteenweg
493954.710573315,6665856.02550322,9188,VELOSTATION,DUBBELZIJDIG,GROENZONE,Rodeloopstraat,67,to 67,Merksem,2170,VE_0000211,IN_GEBRUIK,36,211 Cultuurcentrum
494507.674729886,6665795.82810092,9189,VELOSTATION,DUBBELZIJDIG,GROENZONE,Rodeloopstraat,1-3,to 1-3,Merksem,2170,VE_0000212,IN_GEBRUIK,36,212 Rode Loop
495156.023983805,6665900.17867401,9190,VELOSTATION,ENKELZIJDIG,PLEIN,Kroonplein,28,to 28,Merksem,2170,VE_0000213,IN_GEBRUIK,30,213 Kroonplein
493485.083851221,6665275.33225919,9191,VELOSTATION,DUBBELZIJDIG,GROENZONE,Lambrechtshoekenlaan,133-135,,Merksem,2170,VE_0000214,IN_GEBRUIK,36,214 Kerkhofblommen
494289.351746383,6665059.39111817,9192,VELOSTATION,ENKELZIJDIG,VOETPAD,Nieuwdreef,107,,Merksem,2170,VE_0000215,IN_GEBRUIK,36,215 Nieuwdreef
495251.985376785,6665147.87822163,9193,VELOSTATION,DUBBELZIJDIG,PLEIN,Van Heybeeckstraat,28,to 28,Merksem,2170,VE_0000216,IN_GEBRUIK,30,216 Zwembad Merksem
495904.465990076,6665473.45846126,9194,VELOSTATION,ENKELZIJDIG,GROENZONE,Bredabaan,768,to 768,Merksem,2170,VE_0000217,IN_GEBRUIK,30,217 Joske Vermeulen
493789.568833641,6664396.1610795,9195,VELOSTATION,DUBBELZIJDIG,PLEIN,Ullenshofstraat,3,to 3,Merksem,2170,VE_0000218,IN_GEBRUIK,36,218 Groenendaalcollege
494536.02017575,6664245.684355,9196,VELOSTATION,ENKELZIJDIG,VOETPAD,Borrewaterstraat,8,,Merksem,2170,VE_0000219,IN_GEBRUIK,33,219 Districtshuis Merksem
